
Skipping invalid entry: char='93', x='░', y='5'
Skipping invalid entry: char='2', x='░', y='5'
Skipping invalid entry: char='8', x='░', y='0'
Skipping invalid entry: char='39', x='█', y='1'
Skipping invalid entry: char='64', x='░', y='0'
Skipping invalid entry: char='63', x='█', y='1'
Skipping invalid entry: char='84', x='█', y='3'
Skipping invalid entry: char='9', x='█', y='4'
Skipping invalid entry: char='55', x='█', y='1'
Skipping invalid entry: char='23', x='█', y='4'
Skipping invalid entry: char='91', x='█', y='5'
Skipping invalid entry: char='21', x='█', y='5'
Skipping invalid entry: char='79', x='░', y='1'
Skipping invalid entry: char='65', x='░', y='1'
Skipping invalid entry: char='52', x='█', y='5'
Skipping invalid entry: char='49', x='░', y='5'
Skipping invalid entry: char='24', x='░', y='1'
Skipping invalid entry: char='42', x='░', y='5'
Skipping invalid entry: char='6', x='█', y='3'
Skipping invalid entry: char='24', x='░', y='2'
Skipping invalid entry: char='0', x='█', y='4'
Skipping invalid entry: char='65', x='█', y='3'
Skipping invalid entry: char='74', x='░', y='5'
Skipping invalid entry: char='36', x='░', y='6'
Skipping invalid entry: char='22', x='█', y='1'
Skipping invalid entry: char='62', x='░', y='3'
Skipping invalid entry: char='24', x='░', y='5'
Skipping invalid entry: char='58', x='█', y='5'
Skipping invalid entry: char='35', x='█', y='6'
Skipping invalid entry: char='55', x='░', y='3'
Skipping invalid entry: char='20', x='█', y='0'
Skipping invalid entry: char='88', x='█', y='3'
Skipping invalid entry: char='46', x='█', y='6'
Skipping invalid entry: char='8', x='█', y='5'
Skipping invalid entry: char='13', x='█', y='1'
Skipping invalid entry: char='76', x='█', y='4'
Skipping invalid entry: char='54', x='█', y='1'
Skipping invalid entry: char='2', x='█', y='0'
Skipping invalid entry: char='91', x='█', y='4'
Skipping invalid entry: char='34', x='█', y='6'
Skipping invalid entry: char='80', x='█', y='0'
Skipping invalid entry: char='12', x='█', y='5'
Skipping invalid entry: char='14', x='░', y='3'
Skipping invalid entry: char='1', x='█', y='2'
Skipping invalid entry: char='67', x='░', y='5'
Skipping invalid entry: char='93', x='░', y='1'
Skipping invalid entry: char='48', x='█', y='5'
Skipping invalid entry: char='79', x='█', y='0'
Skipping invalid entry: char='13', x='█', y='5'
Skipping invalid entry: char='39', x='█', y='5'
Skipping invalid entry: char='48', x='░', y='6'
Skipping invalid entry: char='12', x='█', y='3'
Skipping invalid entry: char='92', x='█', y='5'
Skipping invalid entry: char='52', x='█', y='4'
Skipping invalid entry: char='55', x='░', y='2'
Skipping invalid entry: char='61', x='░', y='5'
Skipping invalid entry: char='66', x='█', y='4'
Skipping invalid entry: char='7', x='█', y='6'
Skipping invalid entry: char='83', x='█', y='4'
Skipping invalid entry: char='33', x='█', y='0'
Skipping invalid entry: char='85', x='░', y='2'
Skipping invalid entry: char='56', x='░', y='0'
Skipping invalid entry: char='32', x='█', y='6'
Skipping invalid entry: char='72', x='█', y='5'
Skipping invalid entry: char='23', x='█', y='1'
Skipping invalid entry: char='40', x='░', y='3'
Skipping invalid entry: char='1', x='█', y='6'
Skipping invalid entry: char='28', x='█', y='0'
Skipping invalid entry: char='61', x='█', y='2'
Skipping invalid entry: char='19', x='█', y='6'
Skipping invalid entry: char='63', x='█', y='2'
Skipping invalid entry: char='41', x='░', y='2'
Skipping invalid entry: char='77', x='░', y='3'
Skipping invalid entry: char='57', x='█', y='3'
Skipping invalid entry: char='26', x='█', y='4'
Skipping invalid entry: char='38', x='█', y='3'
Skipping invalid entry: char='74', x='█', y='3'
Skipping invalid entry: char='84', x='█', y='4'
Skipping invalid entry: char='19', x='█', y='0'
Skipping invalid entry: char='9', x='█', y='1'
Skipping invalid entry: char='39', x='█', y='2'
Skipping invalid entry: char='1', x='█', y='3'
Skipping invalid entry: char='60', x='█', y='3'
Skipping invalid entry: char='28', x='░', y='2'
Skipping invalid entry: char='26', x='█', y='1'
Skipping invalid entry: char='14', x='█', y='0'
Skipping invalid entry: char='23', x='█', y='5'
Skipping invalid entry: char='30', x='█', y='6'
Skipping invalid entry: char='18', x='█', y='0'
Skipping invalid entry: char='53', x='█', y='2'
Skipping invalid entry: char='17', x='█', y='6'
Skipping invalid entry: char='4', x='█', y='0'
Skipping invalid entry: char='78', x='░', y='4'
Skipping invalid entry: char='29', x='█', y='6'
Skipping invalid entry: char='0', x='█', y='5'
Skipping invalid entry: char='22', x='█', y='2'
Skipping invalid entry: char='59', x='█', y='4'
Skipping invalid entry: char='85', x='░', y='1'
Skipping invalid entry: char='2', x='░', y='1'
Skipping invalid entry: char='77', x='█', y='4'
Skipping invalid entry: char='53', x='█', y='1'
Skipping invalid entry: char='67', x='█', y='6'
Skipping invalid entry: char='81', x='░', y='6'
Skipping invalid entry: char='47', x='█', y='5'
Skipping invalid entry: char='22', x='░', y='0'
Skipping invalid entry: char='5', x='█', y='0'
Skipping invalid entry: char='76', x='█', y='3'
Skipping invalid entry: char='43', x='█', y='0'
Skipping invalid entry: char='8', x='█', y='2'
Skipping invalid entry: char='1', x='█', y='4'
Skipping invalid entry: char='60', x='█', y='2'
Skipping invalid entry: char='32', x='█', y='0'
Skipping invalid entry: char='27', x='█', y='5'
Skipping invalid entry: char='15', x='█', y='0'
Skipping invalid entry: char='0', x='█', y='6'
Skipping invalid entry: char='41', x='░', y='4'
Skipping invalid entry: char='85', x='░', y='5'
Skipping invalid entry: char='84', x='█', y='1'
Skipping invalid entry: char='41', x='█', y='6'
Skipping invalid entry: char='62', x='█', y='1'
Skipping invalid entry: char='63', x='█', y='0'
Skipping invalid entry: char='92', x='█', y='2'
Skipping invalid entry: char='84', x='█', y='2'
Skipping invalid entry: char='42', x='█', y='0'
Skipping invalid entry: char='77', x='█', y='5'
Skipping invalid entry: char='43', x='█', y='6'
Skipping invalid entry: char='66', x='█', y='5'
Skipping invalid entry: char='15', x='█', y='6'
Skipping invalid entry: char='28', x='░', y='1'
Skipping invalid entry: char='91', x='█', y='0'
Skipping invalid entry: char='54', x='█', y='3'
Skipping invalid entry: char='71', x='█', y='0'
Skipping invalid entry: char='2', x='█', y='3'
Skipping invalid entry: char='29', x='█', y='3'
Skipping invalid entry: char='73', x='░', y='0'
Skipping invalid entry: char='84', x='█', y='5'
Skipping invalid entry: char='83', x='█', y='6'
Skipping invalid entry: char='6', x='█', y='0'
Skipping invalid entry: char='8', x='█', y='1'
Skipping invalid entry: char='26', x='█', y='0'
Skipping invalid entry: char='93', x='░', y='0'
Skipping invalid entry: char='47', x='█', y='6'
Skipping invalid entry: char='3', x='█', y='3'
Skipping invalid entry: char='47', x='█', y='1'
Skipping invalid entry: char='84', x='█', y='0'
Skipping invalid entry: char='87', x='█', y='3'
Skipping invalid entry: char='41', x='█', y='0'
Skipping invalid entry: char='16', x='█', y='6'
Skipping invalid entry: char='41', x='█', y='5'
Skipping invalid entry: char='86', x='█', y='3'
Skipping invalid entry: char='4', x='█', y='6'
Skipping invalid entry: char='61', x='█', y='4'
Skipping invalid entry: char='8', x='█', y='4'
Skipping invalid entry: char='62', x='░', y='4'
Skipping invalid entry: char='57', x='█', y='2'
Skipping invalid entry: char='60', x='█', y='4'
Skipping invalid entry: char='40', x='█', y='2'
Skipping invalid entry: char='31', x='█', y='3'
Skipping invalid entry: char='76', x='█', y='2'
Skipping invalid entry: char='27', x='█', y='2'
Skipping invalid entry: char='40', x='█', y='4'
Skipping invalid entry: char='70', x='█', y='6'
Skipping invalid entry: char='41', x='█', y='1'
Skipping invalid entry: char='71', x='█', y='6'
Skipping invalid entry: char='68', x='░', y='6'
Skipping invalid entry: char='53', x='█', y='3'
Skipping invalid entry: char='45', x='█', y='0'
Skipping invalid entry: char='78', x='░', y='2'
Skipping invalid entry: char='10', x='░', y='4'
Skipping invalid entry: char='23', x='█', y='2'
Skipping invalid entry: char='48', x='░', y='0'
Skipping invalid entry: char='48', x='█', y='1'
Skipping invalid entry: char='12', x='█', y='2'
Skipping invalid entry: char='14', x='█', y='6'
Skipping invalid entry: char='54', x='░', y='5'
Skipping invalid entry: char='73', x='█', y='1'
Skipping invalid entry: char='14', x='█', y='5'
Skipping invalid entry: char='40', x='█', y='1'
Skipping invalid entry: char='65', x='█', y='5'
Skipping invalid entry: char='66', x='█', y='6'
Skipping invalid entry: char='70', x='█', y='0'
Skipping invalid entry: char='38', x='█', y='4'
Skipping invalid entry: char='26', x='█', y='5'
Skipping invalid entry: char='26', x='█', y='6'
Skipping invalid entry: char='53', x='░', y='6'
Skipping invalid entry: char='10', x='░', y='5'
Skipping invalid entry: char='46', x='█', y='0'
Skipping invalid entry: char='90', x='█', y='3'
Skipping invalid entry: char='51', x='█', y='5'
Skipping invalid entry: char='1', x='█', y='5'
Skipping invalid entry: char='8', x='░', y='3'
Skipping invalid entry: char='73', x='█', y='4'
Skipping invalid entry: char='52', x='█', y='6'
Skipping invalid entry: char='85', x='█', y='3'
Skipping invalid entry: char='72', x='█', y='1'
Skipping invalid entry: char='64', x='█', y='2'
Skipping invalid entry: char='47', x='█', y='0'
Skipping invalid entry: char='8', x='░', y='6'
Skipping invalid entry: char='74', x='░', y='1'
Skipping invalid entry: char='31', x='█', y='0'
Skipping invalid entry: char='9', x='█', y='2'
Skipping invalid entry: char='9', x='█', y='5'
Skipping invalid entry: char='72', x='█', y='6'
Skipping invalid entry: char='78', x='█', y='5'
Skipping invalid entry: char='57', x='░', y='1'
Skipping invalid entry: char='12', x='█', y='1'
Skipping invalid entry: char='58', x='█', y='4'
Skipping invalid entry: char='92', x='█', y='3'
Skipping invalid entry: char='10', x='░', y='2'
Skipping invalid entry: char='58', x='█', y='3'
Skipping invalid entry: char='32', x='█', y='3'
Skipping invalid entry: char='83', x='█', y='1'
Skipping invalid entry: char='79', x='░', y='5'
Skipping invalid entry: char='64', x='█', y='4'
Skipping invalid entry: char='21', x='█', y='6'
Skipping invalid entry: char='5', x='█', y='6'
Skipping invalid entry: char='3', x='█', y='6'
Skipping invalid entry: char='24', x='░', y='3'
Skipping invalid entry: char='2', x='░', y='2'
Skipping invalid entry: char='77', x='█', y='2'
Skipping invalid entry: char='78', x='█', y='6'
Skipping invalid entry: char='34', x='█', y='0'
Skipping invalid entry: char='28', x='█', y='3'
Skipping invalid entry: char='27', x='█', y='6'
Skipping invalid entry: char='56', x='█', y='2'
Skipping invalid entry: char='22', x='█', y='5'
Skipping invalid entry: char='14', x='░', y='4'
Skipping invalid entry: char='93', x='░', y='3'
Skipping invalid entry: char='30', x='█', y='3'
Skipping invalid entry: char='7', x='█', y='3'
Skipping invalid entry: char='49', x='░', y='1'
Skipping invalid entry: char='18', x='█', y='6'
Skipping invalid entry: char='27', x='█', y='0'
Skipping invalid entry: char='15', x='░', y='1'
Skipping invalid entry: char='67', x='░', y='4'
Skipping invalid entry: char='85', x='░', y='4'
Skipping invalid entry: char='66', x='░', y='3'
Skipping invalid entry: char='73', x='░', y='6'
Skipping invalid entry: char='35', x='█', y='0'
Skipping invalid entry: char='60', x='█', y='5'
Skipping invalid entry: char='72', x='█', y='0'
Skipping invalid entry: char='73', x='█', y='5'
Skipping invalid entry: char='91', x='█', y='3'
Skipping invalid entry: char='36', x='░', y='0'
Skipping invalid entry: char='91', x='█', y='2'
Skipping invalid entry: char='64', x='█', y='1'
Skipping invalid entry: char='24', x='░', y='4'
Skipping invalid entry: char='74', x='█', y='4'
Skipping invalid entry: char='53', x='█', y='5'
Skipping invalid entry: char='56', x='█', y='1'
Skipping invalid entry: char='59', x='█', y='5'
Skipping invalid entry: char='80', x='█', y='6'
Skipping invalid entry: char='62', x='░', y='2'
Skipping invalid entry: char='30', x='█', y='0'
Skipping invalid entry: char='85', x='░', y='6'
Skipping invalid entry: char='21', x='█', y='1'
Skipping invalid entry: char='44', x='█', y='0'
Skipping invalid entry: char='75', x='░', y='4'
Skipping invalid entry: char='91', x='█', y='1'
Skipping invalid entry: char='44', x='█', y='6'
Skipping invalid entry: char='83', x='█', y='5'
Skipping invalid entry: char='12', x='█', y='4'
Skipping invalid entry: char='51', x='█', y='6'
Skipping invalid entry: char='17', x='█', y='0'
Skipping invalid entry: char='65', x='░', y='2'
Skipping invalid entry: char='54', x='█', y='0'
Skipping invalid entry: char='45', x='█', y='6'
Skipping invalid entry: char='0', x='█', y='1'
Skipping invalid entry: char='38', x='█', y='2'
Skipping invalid entry: char='13', x='█', y='3'
Skipping invalid entry: char='91', x='█', y='6'
Skipping invalid entry: char='0', x='█', y='2'
Skipping invalid entry: char='92', x='█', y='6'
Skipping invalid entry: char='92', x='█', y='1'
Skipping invalid entry: char='29', x='█', y='0'
Skipping invalid entry: char='1', x='█', y='1'
Skipping invalid entry: char='92', x='█', y='4'
Skipping invalid entry: char='39', x='█', y='3'
Skipping invalid entry: char='93', x='░', y='6'
Skipping invalid entry: char='57', x='█', y='4'
Skipping invalid entry: char='84', x='█', y='6'
Skipping invalid entry: char='26', x='█', y='2'
Skipping invalid entry: char='83', x='█', y='0'
Skipping invalid entry: char='22', x='█', y='4'
Skipping invalid entry: char='34', x='░', y='3'
Skipping invalid entry: char='92', x='█', y='0'
Skipping invalid entry: char='65', x='█', y='4'
Skipping invalid entry: char='65', x='█', y='6'
Skipping invalid entry: char='54', x='░', y='4'
Skipping invalid entry: char='31', x='█', y='6'
Skipping invalid entry: char='55', x='█', y='0'
Skipping invalid entry: char='4', x='█', y='3'
Skipping invalid entry: char='28', x='█', y='6'
Skipping invalid entry: char='85', x='░', y='0'
Skipping invalid entry: char='2', x='█', y='6'
Skipping invalid entry: char='10', x='░', y='1'
Skipping invalid entry: char='58', x='░', y='2'
Skipping invalid entry: char='0', x='█', y='3'
Skipping invalid entry: char='27', x='█', y='4'
Skipping invalid entry: char='0', x='█', y='0'
Skipping invalid entry: char='23', x='█', y='3'
Skipping invalid entry: char='1', x='█', y='0'
Skipping invalid entry: char='83', x='█', y='3'
Skipping invalid entry: char='22', x='░', y='6'
Skipping invalid entry: char='21', x='█', y='0'
Skipping invalid entry: char='33', x='█', y='6'
Skipping invalid entry: char='73', x='█', y='2'
Skipping invalid entry: char='7', x='█', y='0'
Skipping invalid entry: char='78', x='█', y='1'
Skipping invalid entry: char='26', x='█', y='3'
Skipping invalid entry: char='81', x='░', y='0'
Skipping invalid entry: char='52', x='█', y='3'
Skipping invalid entry: char='61', x='█', y='1'
Skipping invalid entry: char='28', x='░', y='5'
Skipping invalid entry: char='3', x='█', y='0'
Skipping invalid entry: char='14', x='░', y='2'
Skipping invalid entry: char='20', x='█', y='6'
Skipping invalid entry: char='33', x='█', y='3'
Skipping invalid entry: char='2', x='░', y='4'
Skipping invalid entry: char='53', x='█', y='4'
Skipping invalid entry: char='22', x='█', y='3'
Skipping invalid entry: char='15', x='░', y='5'
Skipping invalid entry: char='54', x='█', y='2'
Skipping invalid entry: char='42', x='░', y='1'
Skipping invalid entry: char='6', x='█', y='6'
Skipping invalid entry: char='5', x='█', y='3'
Skipping invalid entry: char='74', x='█', y='2'
Skipping invalid entry: char='93', x='░', y='4'
Skipping invalid entry: char='27', x='█', y='3'
Skipping invalid entry: char='77', x='█', y='1'
Skipping invalid entry: char='39', x='█', y='4'
Skipping invalid entry: char='78', x='█', y='0'
Skipping invalid entry: char='62', x='█', y='0'
Skipping invalid entry: char='13', x='█', y='2'
Skipping invalid entry: char='75', x='░', y='2'
Skipping invalid entry: char='75', x='█', y='3'
Skipping invalid entry: char='93', x='░', y='2'
Skipping invalid entry: char='89', x='█', y='3'
Skipping invalid entry: char='79', x='█', y='6'
Skipping invalid entry: char='64', x='█', y='3'
Skipping invalid entry: char='16', x='█', y='0'
Skipping invalid entry: char='59', x='░', y='3'
Skipping invalid entry: char='40', x='█', y='5'
Skipping invalid entry: char='13', x='█', y='4'
Skipping invalid entry: char='83', x='█', y='2'
Skipping invalid entry: char='27', x='█', y='1'
Skipping invalid entry: char='61', x='█', y='3'
Skipping invalid entry: char='28', x='░', y='4'
Skipping invalid entry: char='14', x='█', y='1'
Skipping invalid entry: char='42', x='█', y='6'. 
